number,title,user,labels,state,locked,created_at,updated_at,closed_at,comments
3148,开了加速依然显示服务器连接失败,1517su,['question'],open,False,2024-01-23T04:31:58Z,2024-01-23T04:31:58Z,,0
3147,🐛[BUG] 正常使用中会闪退,lingfeng01,['bug'],open,False,2024-01-22T10:44:10Z,2024-01-22T16:04:07Z,,1
3144,🐛[BUG] 开机启动任务计划请求的操作需要提升,Chun-J1,['bug'],open,False,2024-01-21T03:58:22Z,2024-01-21T03:58:47Z,,0
3143,🧐[Question] windows睡眠 遊戲時數,Laijason9170,['question'],open,False,2024-01-20T05:39:46Z,2024-01-20T05:39:46Z,,0
3142,🐛[BUG] GITHUB加速会出现SSL连不上，GITHUB.com 443报警,Lennonleslie,['bug'],open,False,2024-01-19T04:20:36Z,2024-01-19T04:20:36Z,,0
3141,🐛[BUG] 开启网络加速时，若未选择任何加速服务会陷入报错死循环,zhuxiaodics6,['bug'],open,False,2024-01-18T16:51:48Z,2024-01-18T16:51:48Z,,0
3140,🧐[Question] 微软商店版英文显示时没有加速功能,Mapaler,['question'],open,False,2024-01-17T18:29:57Z,2024-01-17T18:29:57Z,,0
3138,为什么本地令牌没有搜索框了,a15213566,['question'],open,False,2024-01-16T11:13:25Z,2024-01-16T11:13:25Z,,0
3137,👑[Enhancement] Windows版希望能加速epic商店,953542479,['enhancement'],open,False,2024-01-15T06:52:20Z,2024-01-16T04:16:31Z,,1
3136,🧐[Question] 在第二台电脑上使用令牌功能提示需密码验证，但点击后无任何反映,Dai12138,['question'],open,False,2024-01-15T02:14:08Z,2024-01-15T02:14:08Z,,0
3135,🧐[Question] 加速steam商店后app的商店黑屏,AlanClemens,['question'],open,False,2024-01-14T15:35:33Z,2024-01-14T15:35:33Z,,0
3134,🧐[Question] 程序启动时报错,IzayoiSakuya-viewer,['question'],open,False,2024-01-14T14:11:05Z,2024-01-14T14:11:50Z,,0
3132,🐛[BUG] 使用工具加速后steam好友聊天无法发送图片,Elviserum,['bug'],open,False,2024-01-14T10:15:31Z,2024-01-14T10:18:10Z,,0
3131,🐛[BUG] 使用一段时间之后打开卡死，无法使用,Huancke,['bug'],open,False,2024-01-12T01:20:49Z,2024-01-12T01:20:49Z,,0
3130,mac m1 14.2.1  3.0.0-rc.3运行流量统计图动画奇葩走向,redsky-air,['bug'],open,False,2024-01-12T01:06:26Z,2024-01-12T02:05:29Z,,1
3129,启动速度慢,ghost,['question'],open,False,2024-01-11T03:48:22Z,2024-01-13T03:36:04Z,,1
3128,discord加回去吧！！👑[Enhancement] ,LiJianJ,['enhancement'],open,False,2024-01-09T05:46:35Z,2024-01-18T05:47:04Z,,4
3127,mac系统最小化后软件卡死,XZHANZ,[],open,False,2024-01-09T02:46:51Z,2024-01-09T04:50:10Z,,1
3126,能否增加对fandom维基的支持？👑[Enhancement] ,Shibaideman007,['enhancement'],open,False,2024-01-08T23:15:28Z,2024-01-08T23:15:28Z,,0
3125,👑[Enhancement] 关于账号登录的问题,XJD19980405,['enhancement'],open,False,2024-01-06T11:35:38Z,2024-01-06T11:35:38Z,,0
3124,🧐[Question] 请输入标题,silence0325,['question'],open,False,2024-01-06T08:51:42Z,2024-01-06T08:51:42Z,,0
3123,👑[Enhancement Microsoft登录加速,mihuxiaocai,['enhancement'],open,False,2024-01-06T04:11:37Z,2024-01-06T04:11:37Z,,0
3122,Ubuntu 18.04 运行启动报错,DaBaiTuu,['bug'],open,False,2024-01-04T06:52:42Z,2024-01-04T06:52:42Z,,0
3121,加速steam失败，steam商店、社区和个人页面出现-100错误,CSYHHX,['bug'],open,False,2024-01-03T07:52:42Z,2024-01-03T07:52:58Z,,0
3120,👑[Enhancement] 应用内登录时提供 查看/自动填充、确认 已绑定的本地令牌功能,faq0,['enhancement'],open,False,2024-01-02T10:50:58Z,2024-01-04T09:59:41Z,,0
3119,🧐[Question] 3.0.0-rc.3 BattleNet平台账号切换异常,izumiChan16,['question'],open,False,2024-01-02T06:38:01Z,2024-01-02T06:38:01Z,,0
3118,为什么要取消discord,GzkThunder,['enhancement'],open,False,2023-12-30T06:41:06Z,2024-01-15T15:41:14Z,,4
3117,🐛[BUG] 请输入标题,Xiezhihai7321,['bug'],open,False,2023-12-29T16:04:41Z,2023-12-29T16:04:41Z,,0
3115,🐛[BUG] 浏览器的bing搜索，自动跳转到github页面。,GlanceQwQ,['bug'],open,False,2023-12-27T08:18:27Z,2023-12-27T11:19:43Z,,1
3113,🐛[BUG] Windows Defender 误报致无法优化网络,PJ-568,['bug'],open,False,2023-12-26T16:26:42Z,2023-12-26T16:26:42Z,,0
3111,🐛[BUG] v3.0.0-cr for windows(x64) 成绩管理器打开没反应,RuoShuigogo,['bug'],open,False,2023-12-23T02:55:18Z,2023-12-23T02:55:18Z,,0
3110,🧐[Question] PAC HOSTS 系统代理 三种加速方式报错,tangturtle,['question'],open,False,2023-12-23T01:50:22Z,2023-12-31T09:59:39Z,,2
3109,一只跳出客户端错误1006和服务端错误500,xuzhean21,['bug'],open,False,2023-12-22T10:24:46Z,2024-01-05T14:51:02Z,,7
3108,🐛[BUG] steam挂卡 选择先并行挂时长在挂卡 之后开不了,lurenjia123456789,['bug'],open,False,2023-12-22T04:50:32Z,2023-12-22T04:50:32Z,,0
3107,Bump ref/DirectoryPackages from `07bf9c2` to `0a1c04d`,dependabot[bot],"['dependencies', 'automatic']",open,False,2023-12-21T23:15:58Z,2023-12-21T23:15:59Z,,0
3106,Bump ref/SteamClient from `2d79c7d` to `80991f6`,dependabot[bot],"['dependencies', 'automatic']",open,False,2023-12-21T23:15:55Z,2023-12-21T23:15:56Z,,0
3105,🐛[BUG] Mac下不预先授权hosts访问权限，就会一直新开网页，耗尽内存,seawink,['bug'],open,False,2023-12-21T14:44:34Z,2023-12-22T05:02:29Z,,1
3104,🧐[Question] steam加速有问题,WuLinLee,['question'],open,False,2023-12-21T14:24:56Z,2023-12-21T14:24:56Z,,0
3103,👑[Enhancement] 希望增加字体大小设置,frozen118,['enhancement'],open,False,2023-12-21T11:19:43Z,2023-12-21T11:20:52Z,,1
3101,Bump ref/WTTS.MicroServices.ClientSDK from `be6ab5f` to `17f0887`,dependabot[bot],"['dependencies', 'automatic']",open,False,2023-12-20T23:19:18Z,2023-12-20T23:19:19Z,,0
3097,Bump ref/Common from `e258b48` to `8704705`,dependabot[bot],"['dependencies', 'automatic']",open,False,2023-12-19T00:01:11Z,2023-12-19T00:01:12Z,,0
3094,🐛[BUG] 脚本不起作用,hhtx666,['bug'],open,False,2023-12-17T12:53:14Z,2024-01-13T03:40:09Z,,4
3093,🐛[BUG] steam库存游戏信息编辑时卡退，已修改的信息无法保存,AbyssVII,['bug'],open,False,2023-12-17T06:56:02Z,2023-12-21T06:08:31Z,,3
3091,自启动添加管理员权限,iyutong,['enhancement'],open,False,2023-12-17T01:42:30Z,2023-12-22T14:22:21Z,,3
3085,Bump actions/upload-artifact from 3 to 4,dependabot[bot],['automatic'],open,False,2023-12-14T23:07:57Z,2023-12-14T23:07:58Z,,0
3081,🧐[Question] 用PAC加速模式无法启用脚本,Misdirection03,['question'],open,False,2023-12-12T16:35:37Z,2023-12-16T05:15:18Z,,2
3078,希望能支持绑定国外手机号,yankoku,[],open,False,2023-12-12T06:09:03Z,2023-12-12T06:09:03Z,,0
3077,速度还行，就是不能下载游戏,Rochzn,['bug'],open,False,2023-12-11T17:02:45Z,2023-12-11T17:03:02Z,,0
3076,👑[Enhancement] 挂卡令牌登陆问题,Kulahala,['enhancement'],open,False,2023-12-10T09:20:23Z,2023-12-11T06:24:22Z,,2
3074,🧐[Question] 网络请求处理的具体步骤是什么,MomentQYC,['question'],open,False,2023-12-08T11:13:09Z,2023-12-08T11:13:09Z,,0
3073,🐛[BUG] 挂时长功能不起作用,TatleCat,['bug'],open,False,2023-12-08T07:08:41Z,2023-12-08T07:09:56Z,,0
3072,🐛[BUG] windows10，更新3.0.0-rc.3后无法开机自动启动,lingfeng01,['bug'],open,False,2023-12-08T04:54:13Z,2023-12-08T04:55:13Z,,0
3069,Bump ref/WinAuth from `a204601` to `29806fd`,dependabot[bot],"['dependencies', 'automatic']",open,False,2023-12-06T23:23:38Z,2023-12-06T23:23:39Z,,0
3068,🐛[BUG] 加速功能一直弹窗host错误,JuNe-rookie,['bug'],open,False,2023-12-06T03:35:16Z,2023-12-06T04:37:43Z,,1
3066,🧐[Question] 2.8.6版本使用正常而3.0rc3完全无法使用,StellarHe,['question'],open,False,2023-12-05T03:19:02Z,2023-12-18T02:41:30Z,,2
3065,Bump actions/setup-dotnet from 3 to 4,dependabot[bot],['automatic'],open,False,2023-12-04T23:24:47Z,2023-12-04T23:24:48Z,,0
3063,🧐[Question] 用了dns劫持模式后 无法上网只能打开微信,Composure17,['question'],open,False,2023-12-03T17:19:31Z,2023-12-03T17:19:31Z,,0
3062,🐛[BUG] 确认交易功能停留在登录窗口,Server-WX,['bug'],open,False,2023-12-03T05:57:51Z,2023-12-06T04:54:20Z,,1
3061,🐛[BUG] 开机时弹窗后闪退,Betrayal0214,['bug'],open,False,2023-12-02T04:47:13Z,2023-12-03T01:42:46Z,,1
